converted_date,.geo,LST_AVE
2022-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}",14664
2024-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}",14665
2022-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14666
2022-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14667
2023-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14668
2022-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14670
2024-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14672
2022-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14673
2023-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14674
2023-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14676
2023-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}",14677
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14678
2022-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14679
2023-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14680
2022-06-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14681
2023-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14682
2023-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}",14686
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14689
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14690
2024-06-19,"{""type"":""MultiPoint"",""coordinates"":[]}",14691
2023-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14692
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14693
2023-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14698
2022-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14699
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14700
2022-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14701
2022-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14703
2023-08-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14707
2022-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14709
2023-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14710
2024-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14712
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14713
2023-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14714
2024-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14715
2022-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}",14717
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14718
2022-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14719
2023-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14720
2022-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}",14721
2023-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14723
2024-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14725
2022-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14727
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14728
2022-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}",14729
2023-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14730
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14731
2022-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14732
2022-05-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14733
2022-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14734
2022-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14735
2023-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14737
2022-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14738
2022-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14740
2022-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14741
2022-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}",14743
2021-12-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14744
2022-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14745
2023-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14746
2022-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14747
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14748
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14750
2022-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}",14751
2022-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}",14752
2024-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14753
2022-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}",14754
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14755
2023-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14756
2022-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14758
